Title,Year,Languages,Rating
4j!VdTv!vs22j9UPCuOB2NL(p61JR1z@,2011,[Looooooooooooooooong;Arabic;Chinese - S;German;Polish],1.6
pKgG)hTLOEpRm,1925,[Russian;Chinese - T],6.5
*Wrg8wX*8qw3DE5Fy%ogHidB8qE,2016,[Arabic],2
PD&Q^E#B7xdPqM73EVxoP(&G8Kz),1966,[French;Polish;Arabic],2.3
c@dJwJ#oShJ@Jm(gbiMKmF1RzN,1956,[English;Russian;Arabic;Turkish;Korean],2.2
m^0B,1949,[Swahili],6.8
%VnOZtztDP8fBQN,1949,[Turkish;French;Czech;Korean],7.3
ptG5b$^$yuoCkt4tkp6)zuFM%iCMzYDEH6G!SN8,1964,[German],4.7
K5nFYzC6nQPBd7isw8g$cRp@w&pzUJpRiDU5XW&17d(s,1916,[Arabic],4.4
EwmC$ukZr,1915,[Spanish;Dutch;Turkish;Hindi],7.1
9T!p#bcJbcu^6yyxwH1VZ4i,1932,[Japanese;German;Spanish;Looooooooooooooooong;Russian],4.9
S%XkbXa#(#Jg4RfeGG6&GgT)*iuGlPDkqxE5Oi*EmKw,1958,[Czech;Spanish],9.4
DvmK^uWu8SAYQc&7xEW!,1906,[Korean;Hindi;Russian;Spanish],5.2
tXpotQHEqkDtfO5kn)xAA*0B&eOeKyb#hoIos*,1912,[Czech;Russian;English],10
kyiJk4zTUJLEip!RthULLC1m!X,1928,[Spanish;Hindi],6.3
06jUo*Z0dGgtzlr,1903,[Dutch;Czech;English;Swahili],4.9
B11V%$6MXBUyBhSDHj1dxyA,1949,[Chinese - S],5.1
MfVov2IT%QMKUO4ZEZ,1959,[Chinese - S;Swahili],9.6
gKAK1q*P*d^zBdl78I8QN$i8EtEJIfUtP,1936,[Polish;Russian;German],6.2
SYDlhB*EFTBHSII)aA&k3n9$HlEk7w5X*NvVjNkk*zvl2$&e,1910,[Dutch;Welsh;Arabic;Swahili],3.6
49eTl)^jL*GApjA!n4uxQEYR%%khCIn!Sy$71EM3ZQuED,1951,[Hindi;Arabic;Polish;Looooooooooooooooong;German],10
q8Y(pJk3&iZ$7EGV!M$1!#MpkUq,1949,[German;Dutch;Turkish;Arabic;Looooooooooooooooong],3.1
g$%,2009,[Japanese;German],8.7
vCo2,2019,[Looooooooooooooooong;French],5.5
@H&gg#NaAA%#v5@t,1983,[Chinese - T;Japanese;Looooooooooooooooong],3
9XzUpAb(T,1974,[Looooooooooooooooong;Turkish;Chinese - T],9.1
J!uo@Qa9^Cm(fKKXidis,2009,[Looooooooooooooooong],9
S53K^@0UfUHf!aDnII(%eDu5uTFIoRsn5%3WLey#7zhrKAz1,1963,[Arabic;Chinese - S;Dutch],7.9
XJh8O(!RIKFG$Ao)NLb24B8!@s(MXmj911FIpvBKirAU29nc,1900,[Russian;Arabic;Czech;Chinese - S],6.5
a1dCTcgGPl%X^zkWfjJn(bBp3,1947,[Chinese - S;Turkish],4.4
a*R(Kz!)c28*N2()oDHEaP8psyXs@NJt7gLaJmADyI#XK3W6,1993,[Welsh],10
*3JXJyyrI%ohvmpqF$Roo8W931ltpo$wh@3,2016,[Russian;Looooooooooooooooong;Welsh;Chinese - T;French],8.5
RvFravvD$$7E&fIr#2wc&ogwLp#UY4hBq%tV95j14&xTOD,1902,[Welsh;Hindi;Korean],6.9
$UFK&&0dUM1XZIm7dq8G11^j@DGERcG$ur,2008,[Looooooooooooooooong;Japanese;Chinese - T],3.2
TLmdx5%5YqRTtwHiB*LpW7e&lfWoo(RrhfcTS,1900,[Spanish;Dutch;Turkish;English;Swahili],1.6
$0w7HA&ibMLVGgyYeYnX,1903,[German;Polish;Korean;Hindi;Looooooooooooooooong],10
ux3j4(e4iGtG4TC5RGe(fddE4glwBTtIo95,1952,[Swahili],4.9
uxCZMwN7g@Fa,1968,[Hindi],9
wcgSMCubU),1909,[Turkish;Dutch;Swahili;Welsh],8.2
*,1924,[German;Korean],1.8
CelUn,2004,[French],3.9
#LLAJ@zqSNSWkQ$iRaxnjC,1989,[Korean;Chinese - S;Swahili;French;Polish],2.2
4%M&FXJar9mMVL0J&G$tkcoEAJy,1980,[German;Swahili;Turkish],2.8
g,1928,[Swahili;Hindi;Czech;Turkish],10
5s2$SsB$eYytU!mT95xuEby,1981,[English;French],4
QQtpZDc6ur5wov0TU,1953,[French;German;Turkish;Chinese - S],7.9
u^mW!Mu!WTq7nt(Qdp3pQXc4Jwoovpvqs*H!I(649lczVD@@,2019,[Chinese - T;Czech;Polish;Welsh;Spanish],5.4
$2V8GmAGF%)mz5trEdlunoREx5zBuU@)MP@2*7,1909,[Japanese;Swahili;Welsh;Dutch],8.1
K7,1982,[Hindi;Dutch;Arabic;German],5.6
!ES0(LA9vdXJe@gYx!2#oWlQiogUKUKt,1998,[Welsh;English;Japanese;Arabic;Russian],7.6
)WpVZK00geGWri1#4IrD0j7,2011,[Dutch;Czech;Spanish;Swahili],5.6
Ny8Z@AgYemq8rt)FucPKX^oTsuLAwQpc7Q8eRYB4OKs2bM1Dv),2011,[Looooooooooooooooong;English],1.4
B&!zU1$pyA^e@laOlID@2HFTi8U&Nur5!xwv*r!X,2014,[Chinese - S;Welsh;Looooooooooooooooong;Chinese - T;Dutch],3.4
aE9bv(a,1979,[Chinese - S;Korean;Czech;Polish;Japanese],5.2
369Z32RP66eEv,1919,[English],5.5
$Ga#K&bucH,1960,[Looooooooooooooooong;Spanish;English;French],10
q(UktV(sC^j^WVmBVejIZH(69UQcpvi07wiHjxrmO8,1963,[Korean;Chinese - T;Looooooooooooooooong;Russian],2.4
4WHGf@92KNkjwQX,1993,[Looooooooooooooooong],9
SEipzT^(rHAerS!iYG8DPIqmTW68Vk!bmPdY%caZA)piHLiPH,1954,[Russian;German;French],7.7
3Q$h1I@qKs3jOSowbhBWCcXbdtCjgmyjRbxX!BMU3IvSOSSs,1986,[French;Japanese;Korean;Czech;Polish],7.6
z4b41G,2013,[Czech;Spanish;Looooooooooooooooong],9.8
Z10#^!zwX,1913,[French],3.4
#x9LUceK7MS%D,1992,[Welsh],6.4
Vl,1915,[Welsh;Looooooooooooooooong;German],2.4
VH)F0OzysaCRIlCW$3y(DWEGzbXv3x^Cq,1929,[Spanish;Polish],1.4
$KjM6BSaAo%4m,1930,[English;Chinese - S],2.9
vv78Xz*cl*2%nWW6C(RZ%^zCyy9&mDwucgd%LtH#VlPJbq8X,1971,[Japanese;Chinese - S;Swahili;Chinese - T],2.8
kJt^H387P&hz,1967,[Turkish;Chinese - T;Spanish],8.9
(nxF$yQUVeSRBt&Hlj*(R8P85Fp@0FWAkzR@4aKbEIv,2017,[Russian;Spanish;French;Japanese;Czech],4.1
tc*8UDpdVFAYXIaGzBs8WSB#KYrnUu,1931,[Turkish;Spanish;Looooooooooooooooong;Korean;Czech],3
C9GcSwU1uV$ywhHlm0(QA&HbTx,1975,[Spanish;German],5.7
&ifT7qniSFSA!nu,1918,[Arabic;Chinese - T;Polish;German;Looooooooooooooooong],10
HS^Zxi1#Yyc2jym&xAMZM7bB%x(WDTLBvCaWX)fPt,1955,[Arabic;French;German;Turkish],9.1
!avUT9Ra$0,2001,[Polish;Czech;Dutch;Chinese - S],9.2
ne)$E$^gKr2u%3Oi%5YI9V$DRAmR#g1dqS4CEk9^fMW,2015,[Dutch;Czech],4.7
3W3jYEv5v3BkMf)vYvycs)4qPeYPk1#zoXW6dI7pLNn,1955,[Korean;Turkish;Swahili;Polish],9.1
n@z8Q#XG1PIUJ95#$fG(3*JI9k,1926,[Dutch],1.9
1hjzwC9oUc0bklKgpEZ01UDUsSc0vpGyrv&TI,1907,[Russian;Chinese - S;Swahili;Czech],5.8
bGoQ95LC72qOo$ZX0^4^%8,1962,[Polish;German;Japanese],7.3
!Nh)P^bm95*pw#YIWuGyGI1qLOavoDuFiC!#7*,1995,[Hindi],7.9
xwwVCwOs6ThCYuw9@j*O#)tjkWFnBv3$1H9^z$mbyzMxg88zb,1930,[Chinese - S;Japanese],8.2
p1YgiAh)rnBab%^B9FN8p9Gv2X16W,1937,[Swahili;Japanese;Chinese - S],8
)p7oYo9lUpLTrjlUV$PVdfG&!mPYP,2005,[Looooooooooooooooong;French;Chinese - T],2.4
YfY$Aa)2Q1JCe4%PBLR&m#vqFUVr^sw^x1VIFo,1907,[German;Czech;English;Hindi],6.7
OnkXBD(h)2WWw3(xM8K,1943,[German;Swahili;Chinese - S;Russian],7.9
YEMkFlnVwKT6&lb6bAhB7s!4@9rNlqRXP)PDcc86fAnJ27,2017,[Dutch;Turkish;Russian;Czech;German],8.1
cR0M5dw#y9Jcm$DCnsX5f,1913,[Russian;Dutch;Swahili;Chinese - T],4.3
J9YJ5s$GmsjWHLm8MTushgECOPPd67*tS,1990,[Korean],10
N6EKq9d8tQV2,1974,[English;Looooooooooooooooong;Chinese - T],7.5
6yR@N8RX2HUHhrztghn6Cb2qUrQHsNlEvIhfp^PrIKt2LsrRQ,1963,[Turkish],8.8
5AEJd1km07LpVW,1906,[French;Looooooooooooooooong;Russian],3.3
NK,1958,[Spanish;Turkish;Japanese;Korean],1.8
kDcezx9X1,1990,[Chinese - S;Arabic;German;Swahili],3.2
PPWoJ@QeXwjQP,1908,[Polish],3.3
OUjK@ABJum4)ujdb*RzHOSGFXDjNgGrgDh7,1963,[Hindi;Spanish;Dutch;Japanese;Polish],5.3
ZdRr,1910,[Hindi],10
#1RMTybRNLYCwRiSky)lwLHPAvQXkg#CB,1971,[Russian],2.5
B5RB8!%yTJDo(ZF8W$3o1KO*h67J)RcF%6l)qh2fzryf)Xf!DM,1951,[Chinese - S;German;Swahili;Korean],6.7
g8$OQiuC@Cryxt4twWw)0DqChzd8xrm#nCTQ2d,1902,[Welsh;Swahili;Arabic;Hindi],6.8
2i^7TgjL!xKik9Hka$iFaW0(EJenEbO2E7o31upBFxuhx&V,2007,[Hindi;Japanese;Spanish;Looooooooooooooooong;Dutch],1.1
OZv7,1969,[Japanese;Dutch;Russian;Czech],6.5
D^j3!kH)A9TBfSk9lxN@DB,1992,[Arabic;Swahili;Korean],6.1
wHjH*x43LvF,1938,[Korean;English;Polish],9.5
Ey4fv!@rj1hehXTGYXBAsk&M7z1mC8dO9yNM22KG!hBBVX,1933,[English;Dutch],7.4
2*plMNYOA0HZiyVeC7GPhIpsJN6fH07b87E%oczTz(,1909,[French;Welsh;Turkish;German],9.1
iuy8#rOb#Uz^#WlMU%5xYDhY3v$Pf,2009,[Swahili;Looooooooooooooooong;French;Japanese],9
QBngwFvrWH3Dg0so3v,1924,[German;Chinese - T],6.4
10g7p)C3)@j6wv)!qq@bUdSZgBK4CltxEoIn33,2008,[Swahili;Hindi;Spanish;French;Dutch],1.3
R)WMmO1H7nPsjb)zj9ldN3mjl#29g@S5i2T,1952,[Welsh;Spanish;Swahili],3.1
Zbtgq2Azt&h6FM8Jij%Vif%bupHiw1qv3DNDaU$Zlnc,2005,[Polish;Looooooooooooooooong;Japanese;Hindi],4.7
PZ$k%,1949,[Polish;Swahili],8.1
7QJpV7rS6pfgTB4FXAh3ILu)T(F$us5B76KPxH3cDDQp1,1908,[Hindi;English],4.9
o34OErL,2015,[Hindi;French;English],4.7
E2*NN3SV#acI1qK(pgYWzfBWkc3e9jNhArhGP954@9&7JKt$@,1902,[Russian;Arabic],3.5
eI@slHUTSMlo9g5c%bW^Vjrht,1972,[Turkish;Hindi;German;Japanese;Chinese - T],7
EzjX,1942,[Korean;Looooooooooooooooong;Czech;Spanish;Russian],10
XRtzM,1994,[Turkish;Dutch;Polish],2.6
Of&I%3Z#8Sc&zMIaIlPO,1996,[Polish;Japanese;Dutch;Russian],10
54,1915,[Turkish;English;German],2.6
Ikl7NDNZV4K9Kv2a#fJ1fkGMPc@csP80hH4&#kvQCbUv2N,1996,[Korean;Looooooooooooooooong;Polish;Spanish;Russian],5.9
JQo6Kwgw!!a#epI,1900,[Turkish;English],5.5
r7CRk5j$ymQX6JGWTxciDmQJ,2015,[Arabic;Korean],1.7
m$S8LnDDTs^o#EQ,1948,[Chinese - S;Czech],8.6
J0rzp@2^OmRYWpY&1N,1985,[Hindi],10
P$EdfE@ZCJ85p$9LvEw69@(FIVP0qsiBMB1SNl@,2011,[German;Welsh;Russian;Spanish;Chinese - S],6.9
cx9GCR4ysi,1906,[Chinese - S;Polish;Hindi;Czech],7.8
254uQ)IMgg3HMV6bZ50O,1953,[Hindi;Korean;Dutch],3.3
Xft$3H(1m4jXFNL#!q%upE,1954,[French;Russian;English],6.1
yofPbBn)P9aLm%^m%s5Lr$,2001,[Chinese - S],2.1
Aki9#E6AG^tKSdnjTl@wsiN,1933,[French],6.3
ht,1986,[French;Spanish;Chinese - T],7.8
4Xsk2K)oHnzk(L8JCtkX,2006,[German;Korean],9.4
7NxDQNhpn6NQZD$z$3JgYJb4IVsvU6f,1914,[Looooooooooooooooong;Polish],5.5
j4@hq0j^!!raVX3LE@g*SxoDoXdiFeEwp^6MkJ9#sY^iwTZ,1941,[German;Czech;French;English;Hindi],5.7
92Jc0#24,1975,[Polish;Korean],5.6
R*$jtEaAZ,1917,[Swahili],9.2
oNVIeY0(M39Jus030yEzL^j4^PizPpq,1994,[Chinese - T;Dutch;Welsh;English],9.2
G,1903,[Spanish],3.5
rY8dJmb7BPUm*R#pRvq53^rsJZrIvwd*AC!KtM4PK6t(s382RA,2002,[Welsh;French],10
O5!ldW*jQE&B#(g$0YA15!k,1905,[Spanish;Chinese - S;Dutch;German;Polish],4
C,1925,[Japanese;German],1.2
o3&a%RH(OYUR6bTtLNClSN6lOD7kv@QU!Kb@yb,1981,[Chinese - S;Hindi],9.6
1d,2016,[Hindi],6.6
z2@Yv34$a9QRYpgjmjr66L2@stoiS5yW,1949,[Chinese - T;Arabic;Chinese - S],3.8
2EL4HIFgY!yubJVp35Zs3DUd5NvKqQ17ctvpI9%CMM,2021,[Czech;Turkish;Spanish;French;Polish],5.3
QinX56u$503SRUlyBGQC$BtUK8lR@,1900,[Turkish;Chinese - T],7.9
5uSrzPM$yKsSRNXnb)qyTpPAfLeB@ax19VNx9(,1981,[Czech;Chinese - T;Arabic;English;French],3.5
ITRhQndeIR6,1905,[Czech;Chinese - S;Dutch;Swahili],10
oN@mCsN7G4jRGuQbMnkTqK2^pRx&#)9qA9TAf#Zx*$8L(%,1902,[Turkish],6.6
0#IhIcM^lzwxwSUGqFkQxMq2L%Cc,1988,[Looooooooooooooooong;Spanish;Welsh;Turkish;English],1.9
^Ec9xJt%TmiIzLMyIp)Y2(N!H4xak,1996,[Turkish;German],10
hqLcp#OH7Z1A*Z7gpYuC$ADFr(RB,1992,[French],4.7
W7X^^yUwTFQP#rZqnF^oQ8t0HKbkS&Hm&g#fsU)v**@z$UMQu,2006,[Swahili;English],7.4
W&ifo(ntpMMCs4Gi,1977,[English;Arabic],1.4
jcSBn2QFMUb#(DSwCM7EGmHyfSo,1904,[Chinese - T;French;Spanish],8.6
5GkZXO7CYWR%Nqw$U,1920,[German;Korean],10
hBCTmmJ9O^H)rQjCk(Fm7PafxmWnO1VpbY^Y#(c,1925,[Russian;Swahili],6
zoO1raL,2005,[English;Swahili;Spanish;Dutch],5
eFMh#PL9H&z6n(s!&$41K6$X(ItM^7LaXGb4S7(lETRCSGhKLN,1909,[Arabic;Welsh;Looooooooooooooooong],2.8
gClCiZogPwZw&umyKw9B5vcs,1993,[Chinese - S;Russian;Dutch;German;Welsh],4.9
QzzFIy!FMqvF0Yf2tlQzDoBubtkAYr*,1902,[German;Spanish;Chinese - T;Swahili;Chinese - S],1.1
HHT0$U4EAv5BXtJkD%zdJk%Rd8iNJSfk8xGw,1988,[Czech;Swahili;Japanese;Looooooooooooooooong;Arabic],5.3
7jzldy)rEQUT5F7mkAPsGz6u$nDP61MsmcfMQk1kQ,1995,[Looooooooooooooooong;Polish;German],9.1
dGzpUI(c@an,1952,[Czech;German;Chinese - S;Japanese;Arabic],5.5
(#Am4R2o,1949,[Spanish],1
v7j*tq^wHoD0wpbiM8yi,1934,[Czech;Swahili],3.2
v%tj%yqSoYCwmGn,1956,[German;Spanish;Korean],8.1
^*g21lK5#,2015,[Hindi],7.7
6%2sy$m2qQAW2GAhscc@KnMN5wCXGhU@FUh5w3,1978,[Welsh;Hindi;Russian;Korean;Japanese],10
^RlLxPSKYU2vIFvbPj6s,1933,[Arabic;Swahili;German],1.7
LkBu&fquuX!r@,1931,[Spanish],8.3
PV,2010,[Chinese - S;French],6.3
P6OHz@uib%luPT,1913,[Spanish;Swahili],9.4
#XkY!h^AllggAk@G,1969,[Korean;Welsh;Spanish],4.8
BGAcekk7Goe1ao2Ar,1931,[Russian],7.7
emF7)xzPEOo1PG8),1991,[Japanese;Swahili;Spanish],8.2
Ilv1x0Chdwpq$BTCX@KCqCO%muY&VM4mjqoJoxk9^pN,1990,[English;Spanish;Japanese],8.1
&Y6yBICGBf7LiRArWaW!&IDy&N%M19&ABvGHjCkyGe5y$FVUB,1904,[French],6.9
M86YhSn7xi^SJ&PI5r,1983,[Czech;Looooooooooooooooong],9.6
sLRL%k1&V!FB(5h4L(mvLinBoKX,1983,[Chinese - S;Welsh],4.6
%LkBwLE03c2M0KcNOGPFs*j&EtmFsT^ZoXrMh,1918,[Turkish;Chinese - T;Polish;Japanese;Spanish],9.2
mtU2%&5UqUgysIm9z5M6cpOle$LP@IYw%GE,2014,[Korean;Russian;Polish],3.8
ZInND5BVQBc,1987,[French],3.4
dQPwvZ3WbI*F@Xy!g78x%#ky1rF11Cjf^68D7%i90c3x,1902,[Turkish;Chinese - S;Hindi;Korean;Czech],5.5
3)ZYVJ69ZT6Y8*GS(Xa7Ij3k!lEGSMe6)Yq7*v*V$3t)hYL,1961,[Chinese - S;Swahili;Arabic],7.5
zzyky&KxSsNLTOGegtzJF4XBd6o9d6!(Km)F,1991,[Arabic;Welsh;Chinese - T;Looooooooooooooooong;Polish],9.2
nYpP^5m8Pieu&ogg38#Q,1900,[French;Korean;Czech],9
3tpJWUGo!$d5!Enav5AgMz,1985,[Russian],4.7
@KJlUt(c5nKIVtWF7XIVrMVfLX6@B9HsyHYucxKn,1953,[Welsh;English;Japanese;German],10
7xdICxXQaDu@*C(R6ex,1929,[Russian;Spanish],2.5
2GbUmN^q2a&9fPLU!492dqiH$D&Ae@i2hZ1BcU,1900,[Welsh;Korean],8.1
l0sr9fZS%8ntPVsz(i07Wb!v^AvipFD#M3U2l*ZQf,1973,[Czech;Arabic;Polish;English;French],6.3
Z!lyFPejEAE4,1952,[Swahili;English;Arabic;Dutch;Spanish],3.2
@D(1jhAoxW^SKW!lR8uqeLRkf3aYY!GNy!3CguXhIAN,2009,[Swahili],5.6
9,1964,[Chinese - S;Hindi;Arabic;Korean;Spanish],9.4
j7QmHh#(dS$N70,1956,[Chinese - T;Spanish;English;Turkish;Welsh],3
6j^gr3zFQrAcRz*EE$UqO6F&vT9UDNzn$9sNhAZ,1997,[Russian;English],5.3
t,1925,[Welsh],4.8
z,2005,[Japanese],2.5
ven,1976,[Dutch;Chinese - T;Korean],5.1
(3jp^fMrC)*B()w1m3,2006,[Polish;Looooooooooooooooong;Japanese;Turkish;Hindi],1.5
q$JWa70!Cqexh#eqi2IgXKk%sY#Kg&2^hFR,1910,[Dutch],10
tnHGtrabfh0z3fAsY!A#A^3iCpMog4TJ3n&%x4n&A6isML,1925,[French;Looooooooooooooooong],5
xo(GVIb3$PyHclDEE8HBzZ0(&BLyNMScL77nw&LkAKJ,1957,[Japanese;German;Dutch;French],5.9
aRxEm6R)EG#d%WIYVwEBebnzmPOycgDe,1927,[English;Swahili],10
l$7Ois5qCIjeOdR*RIL7IP3jBP$7tI01aC2G$kb&sGFN,1924,[Turkish;French;Korean;Polish],4.7
Jgr4BR)IK(M$3neOo^&%,2012,[Russian;Chinese - S],2.4
TmW1rqbAY^86v^jW6LBOb)9$t@3ufoUR#yGaD,2006,[English;Dutch;German;Polish;Looooooooooooooooong],4.6
JhxSa3RD^Jh7VLWb@9Tq8ct%Sf4Xei*,1934,[Arabic;Chinese - S;Dutch],5.6
2wuCSTbgDWdGHWYrkQMyN,1914,[Polish;French;Arabic;Czech],7
1QdZ$BbF8)Qaq!)Y^XSGw6,1959,[Looooooooooooooooong;French],4.7
55*$b$E(hXAf)1CsVD*uOOQ59TQSoiF$,1988,[Spanish;Turkish;English],6.7
ojENoWZXsL7IE3qIg3u8hFLmnkRh7#Hr,1964,[Korean],2.5
nLv!q95rNJsu)druB453T#KSM2iMqugIu8Hqm4^fsWI7WwPluP,1932,[Swahili;Turkish;Czech],2.5
RIf2sZo38!jnpdZ1e663TmUZcCgTIzYic)QeP9KrP,1964,[Arabic;Chinese - T;Spanish;English;Czech],4.8
^OGaEnFERXgTMl2fN6c,1940,[Swahili;English;Chinese - S;Korean;Russian],1.9
E^SFA$$FF5AFeKZNQspJC#yV$uE05(FoAp8fgpD8fMDxS)Zcrs,2018,[Looooooooooooooooong;Polish;Russian;French],1
r6O0%#E)qg%@WPaWOoPzGFOeaJ*shNevy)z%z*MxJJ^A#vW,1938,[Welsh],6.2
z7cQ*#RT5pu@vfA7*bIMih7mg&ri8!,1957,[Korean;German;Hindi;Dutch],2.2
H5fe%Stm,1941,[Japanese;Spanish;Czech;English],6.9
DSuakroeF54cw4E43VQI(Ob4V2^Yv(w&XOhIjUyf%s6*(Uon,1973,[Arabic;Korean;Polish],7.1
GoyVcjgD!waN4!2DSQ,1950,[English],8.4
rJCTi)^1Qjq4R$#nL,1927,[Hindi;Spanish;Chinese - S;Arabic],3.4
EF,1967,[Turkish],3.3
n^*,1996,[English],2.3
I71HNPFKchwsr!tsb#oYLP&H,2009,[Russian;Korean],2.9
zW^9RUO&Vb@I,1984,[Polish],8.2
YuAaCRDSYtk60iVTie^uwKpmEaJf,2017,[Welsh;Polish;Chinese - S;Spanish],4.4
^nKMckfmK&Nnk)0DuEf,1996,[Polish],2.2
%VPWI6&clVMd&kItqSOQvQw(zbFNRzJTVa7(,2010,[French;Turkish;Chinese - T;Japanese;German],5.5
(px3a4R5uA2tvx%P4ZOJIu(g,1926,[French;Spanish;Looooooooooooooooong;Hindi],3.4
WA3T%D2g*MYuA8p2QshjukmILXt6Slq,1969,[Welsh;Hindi;Swahili;Spanish;Dutch],5.9
mBb8$Dr44v6Td9UBomG!*z72c^&DHpf515!X,1925,[Chinese - S;Russian;Spanish],6.4
%jnODrHrfia6cwNNZk^f8WExK)L&rUNw&C3k(xT&nNZCaIdt,1983,[Japanese;Looooooooooooooooong;French;Korean;Chinese - T],7.4
F9oBQk8rgOGoxiWSTUgF5BsVJj6e*J**KPKlmbAfROzGP*H0d,1966,[English;Chinese - S;Hindi],9.7
YxjPK*0z6e,2000,[Czech;Spanish;German],10
OYWwz*LlfU7oFF464#adfT)4)TxNYPDjO@Z3aNx,1933,[Dutch],9.5
r(aU(qvm#bg613g!qMKJj,1930,[Japanese],5.2
ykg)ZLXd,1910,[Polish;Korean;Dutch],1
Y#i(KscyL1Brh851*NUNtj,2000,[Turkish;Swahili;Korean;Chinese - T;French],7.2
H)$rrjfnlp!(ku)Q,2014,[Welsh;Spanish;Chinese - T;French;Swahili],8.9
pPj,1961,[Chinese - T;Arabic;Chinese - S;Looooooooooooooooong;English],5.5
WlXNUn##Vh&&T@A3P211Kc79chb%Np8#Eq,1938,[Czech;Polish;Russian;Dutch;Korean],1.5
PEnOlL*04&DJ&TZF9ow(e,1964,[Looooooooooooooooong;Polish;Dutch;Spanish;Swahili],4
pabDKiDnMqEE@FBwZk6t@seS9uSHfrmrOH5XgnUMxf9G,1934,[Swahili;Hindi;Turkish],4.5
h3S2)BwFUd!O^Y!19jiyHKv0Pb%TCAQ(Qatnel(oPTU0^2Q5A3,1914,[Polish],1.8
TT6BSJQc!NI7ezPuf40E6*hD^H8ZwcRN5NbaH,1958,[German;Polish;Korean],7.5
